Houses,name,Blue Assets,name,Education,name,Business,name,Emergency Services,name,Transportation,name,Food,name,Green Assets,name
POINT (2.156499 41.3761688),Point 1,POINT (2.1755435 41.4044693),Point 1,POINT (2.1564273 41.3772536),Point 1,POINT (2.1512533 41.3820155),Point 1,POINT (2.1598256 41.3767143),Point 1,POINT (2.159375 41.3808361),Point 2,POINT (2.1642022 41.3777578),Point 1,POINT (2.148968 41.3780668),Point 1
POINT (2.1472293 41.3794856),Point 2,,,POINT (2.1489753 41.3788772),Point 2,POINT (2.1545115 41.3804137),Point 2,POINT (2.1592058 41.3811589),Point 2,POINT (2.1582439 41.3817909),Point 4,POINT (2.163065 41.3775323),Point 2,POINT (2.1539128 41.3888886),Point 2
POINT (2.1517354 41.3830277),Point 3,,,POINT (2.1489161 41.3805074),Point 3,POINT (2.1452551 41.3875753),Point 3,POINT (2.1588088 41.3817143),Point 3,POINT (2.1628103 41.3853328),Point 5,POINT (2.162271 41.3766307),Point 3,POINT (2.1544087 41.3818081),Point 3
POINT (2.1603614 41.3821583),Point 4,,,POINT (2.1497744 41.3807086),Point 4,POINT (2.1510057 41.3854905),Point 4,POINT (2.1457053 41.3890527),Point 4,POINT (2.1639904 41.3861378),Point 6,POINT (2.1610003 41.378527),Point 5,POINT (2.1540744 41.3759806),Point 4
POINT (2.1444827 41.3856036),Point 5,,,POINT (2.1448233 41.3825137),Point 5,POINT (2.1603091 41.3896814),Point 5,POINT (2.1464348 41.3888112),Point 5,POINT (2.165986 41.3877155),Point 7,POINT (2.1563439 41.3786236),Point 6,POINT (2.158898 41.377285),Point 5
POINT (2.1486884 41.3919786),Point 6,,,POINT (2.1448876 41.3836568),Point 6,POINT (2.1649225 41.3898263),Point 6,POINT (2.1524108 41.3939786),Point 6,POINT (2.1676382 41.3869266),Point 8,POINT (2.1526532 41.3775609),Point 7,POINT (2.1436078 41.3882276),Point 6
POINT (2.1619492 41.390562),Point 7,,,POINT (2.1443405 41.3843813),Point 7,POINT (2.1610494 41.3836363),Point 7,POINT (2.1733427 41.3937211),Point 7,POINT (2.1742043 41.3895185),Point 9,POINT (2.1582322 41.3753872),Point 8,POINT (2.1730884 41.3940371),Point 7
POINT (2.1657687 41.3907551),Point 8,,,POINT (2.1489498 41.3874651),Point 8,POINT (2.1630771 41.3824368),Point 8,POINT (2.171278 41.4030105),Point 8,POINT (2.1818861 41.3941224),Point 10,POINT (2.1576314 41.3811514),Point 9,POINT (2.1752125 41.3949609),Point 8
POINT (2.1643525 41.3960672),Point 9,,,POINT (2.149969 41.3868614),Point 9,POINT (2.1545393 41.3939212),Point 9,POINT (2.172507 41.4066802),Point 9,POINT (2.1736564 41.393758),Point 11,POINT (2.1552711 41.3815217),Point 10,POINT (2.1782703 41.3964982),Point 9
