Houses,name,Food,name,Business,name,Blue Assets,name,Education,name,Emergency Services,name,Green Assets,name
POINT (-87.3069521 41.5554964),Point 1,POINT (-87.2760934 41.5702484),Point 1,POINT (-87.3042403 41.5514451),Point 1,POINT (-87.302867 41.5609203),Point 1,POINT (-87.3010126 41.5545415),Point 1,POINT (-87.2789802 41.5709016),Point 1,POINT (-87.2999556 41.5571065),Point 1
POINT (-87.2868677 41.5644878),Point 2,POINT (-87.2751064 41.5676477),Point 2,POINT (-87.2899065 41.552248),Point 2,POINT (-87.3003692 41.563457),Point 2,POINT (-87.2797695 41.5593264),Point 2,POINT (-87.2601042 41.5709527),Point 2,POINT (-87.29369 41.5653912),Point 2
POINT (-87.291245 41.5687903),Point 3,POINT (-87.268197 41.5698631),Point 3,POINT (-87.2938547 41.5582533),Point 3,POINT (-87.2582903 41.5746312),Point 3,POINT (-87.2670444 41.5657597),Point 3,,,POINT (-87.2910292 41.5634646),Point 3
POINT (-87.2840353 41.5687903),Point 4,POINT (-87.2520055 41.573227),Point 4,POINT (-87.2750578 41.568946),Point 4,,,POINT (-87.2450911 41.5774688),Point 4,,,POINT (-87.2804291 41.5642674),Point 4
POINT (-87.2987552 41.5543403),Point 5,POINT (-87.2457828 41.5740617),Point 5,POINT (-87.2698581 41.5712124),Point 5,,,POINT (-87.2588886 41.5714016),Point 5,,,POINT (-87.2613383 41.561827),Point 5
POINT (-87.2578107 41.5701017),Point 6,POINT (-87.2426929 41.5752496),Point 6,POINT (-87.2502029 41.5731067),Point 6,,,,,,,POINT (-87.243743 41.5696937),Point 6
POINT (-87.2424041 41.5797973),Point 7,POINT (-87.23956 41.5780426),Point 7,POINT (-87.2396028 41.5793027),Point 7,,,,,,,POINT (-87.2260811 41.5680883),Point 7
POINT (-87.2288857 41.577839),Point 8,POINT (-87.2393025 41.5759559),Point 8,POINT (-87.2323242 41.5754158),Point 8,,,,,,,POINT (-87.2311451 41.5745738),Point 8
POINT (-87.2309886 41.568978),Point 9,POINT (-87.2223 41.5749606),Point 9,POINT (-87.2388473 41.5870044),Point 9,,,,,,,POINT (-87.25227 41.5872207),Point 9
POINT (-87.2310319 41.5837449),Point 10,,,POINT (-87.2342554 41.5875822),Point 10,,,,,,,POINT (-87.252596 41.5754402),Point 10
POINT (-87.2671666 41.5563726),Point 11,,,POINT (-87.26507 41.5875178),Point 11,,,,,,,,
POINT (-87.2643771 41.5678682),Point 12,,,,,,,,,,,,
POINT (-87.2749253 41.5765842),Point 13,,,,,,,,,,,,
POINT (-87.2473037 41.5713858),Point 14,,,,,,,,,,,,
POINT (-87.2465788 41.5615103),Point 15,,,,,,,,,,,,
