Houses,name,Food,name,Transportation,name,Emergency Services,name,Education,name,Green Assets,name,Businesses,name
POINT (72.8526386 19.0250397),Point 1,POINT (72.854402 19.033181),F1,POINT (72.8531273 19.0347212),B1,POINT (72.8507302 19.0227871),H1,POINT (72.8574241 19.0239207),Point 1,POINT (72.8486687 19.0391076),G1,POINT (72.8517652 19.0378984),K1
POINT (72.8538188 19.026267),Point 2,POINT (72.8544529 19.0329325),F2,POINT (72.8507241 19.0339098),B2,POINT (72.8511137 19.0239002),H2,POINT (72.8571666 19.0264108),Point 2,POINT (72.8492749 19.038276),G2,POINT (72.8513468 19.0371834),K2
POINT (72.8525099 19.0230112),Point 3,POINT (72.8541741 19.0328065),F3,POINT (72.8492006 19.0316785),B3,POINT (72.8529618 19.023951),H3,POINT (72.8603209 19.0269737),Point 3,POINT (72.8572175 19.0322914),G3,POINT (72.8506602 19.0367321),K3
POINT (72.8550419 19.0296344),Point 4,POINT (72.8541841 19.0325304),F4,POINT (72.8473196 19.0304281),R4,POINT (72.8525031 19.024377),H4,POINT (72.8598458 19.0286647),Point 4,POINT (72.8559217 19.0312153),G4,POINT (72.8496248 19.0372544),K4
POINT (72.8536759 19.0309225),Point 5,POINT (72.8562723 19.031894),F5,POINT (72.8475852 19.0314195),R5,POINT (72.8507858 19.0234637),H5,POINT (72.856359 19.0297803),Point 5,POINT (72.8486139 19.0330325),G5,POINT (72.8496141 19.0367118),K5
POINT (72.8556347 19.0289501),Point 6,POINT (72.8506879 19.0336532),F6,POINT (72.8534728 19.0345244),B6,POINT (72.8579223 19.0280418),H7,POINT (72.8563229 19.0257832),Point 6,POINT (72.8535401 19.0269569),G6,POINT (72.8522283 19.0355354),K6
POINT (72.8505515 19.0371129),Point 7,POINT (72.8532822 19.0205485),F7,POINT (72.8560489 19.0327486),R7,POINT (72.8557485 19.0262709),H8,POINT (72.8489134 19.0310784),Point 7,POINT (72.8520166 19.0262571),G7,POINT (72.8512949 19.0345921),K7
POINT (72.8487808 19.0362752),Point 8,POINT (72.8599649 19.0241254),F8,POINT (72.8545249 19.0308125),B8,POINT (72.8542947 19.025571),H9,POINT (72.8485214 19.0334406),Point 8,POINT (72.8552006 19.0269791),G9,POINT (72.8507156 19.0350703),K8
POINT (72.8582546 19.0271908),Point 9,POINT (72.8590289 19.0236414),F9,POINT (72.8546114 19.0308049),B9,POINT (72.8539916 19.0255102),H10,POINT (72.851954 19.0367341),Point 9,POINT (72.8558121 19.0251372),G10,POINT (72.8509552 19.0364937),K9
POINT (72.8567097 19.0310946),Point 10,POINT (72.85773 19.0273845),F10,POINT (72.8547784 19.0299278),B10,POINT (72.8537395 19.0250689),H11,POINT (72.8524952 19.0339596),Point 10,POINT (72.8540633 19.0208569),G11,POINT (72.8531778 19.0291694),K11
POINT (72.8545966 19.0209552),Point 11,POINT (72.8586178 19.0274986),F11,POINT (72.854706 19.029834),B11,POINT (72.854064 19.024828),H12,POINT (72.8561003 19.0324618),Point 11,POINT (72.855516 19.0201843),G11,POINT (72.8577697 19.0315427),K12
POINT (72.8554442 19.0238256),Point 12,POINT (72.8575771 19.0281528),F12,POINT (72.8554291 19.0275019),B12,POINT (72.8498149 19.039463),FB13,POINT (72.8546101 19.0313933),Point 12,POINT (72.853161 19.0220557),G12,POINT (72.8569352 19.029288),K13
POINT (72.8514056 19.0236418),Point 13,POINT (72.8563755 19.0275279),F13,POINT (72.8570384 19.0253364),B13,POINT (72.8548542 19.0317501),H14,POINT (72.8599739 19.0269837),Point 13,POINT (72.856192 19.0222864),G13,POINT (72.8539151 19.0272088),K14
