WKT,name,Education,name,Business,name,Food,name,Emergency Services,name,Green Assets,name
POINT (55.3547952 25.1257908),Point 1,POINT (55.2934861 25.1445497),Point 1,POINT (55.3634696 25.1296382),Point 1,POINT (55.2947545 25.1502421),Point 1,POINT (55.3005155 25.1351041),Point 1,POINT (55.3634002 25.1316614),Point 1
POINT (55.3573701 25.1392338),Point 2,POINT (55.3108668 25.149095),Point 2,POINT (55.3718248 25.1288982),Point 2,POINT (55.3284195 25.1471365),Point 2,POINT (55.3239421 25.1577991),Point 2,POINT (55.3230383 25.1510474),Point 2
POINT (55.3632924 25.1452943),Point 3,POINT (55.3267884 25.1435008),Point 3,POINT (55.3717497 25.1423019),Point 3,POINT (55.3616481 25.1338293),Point 3,POINT (55.3508558 25.1459178),Point 3,POINT (55.3429511 25.1523585),Point 3
POINT (55.3838059 25.1562491),Point 4,POINT (55.3661401 25.1414821),Point 4,POINT (55.3244478 25.1606338),Point 4,POINT (55.3637295 25.1337516),Point 4,,,,
POINT (55.339689 25.1580359),Point 5,POINT (55.3776497 25.1455852),Point 5,POINT (55.3253514 25.1636776),Point 5,POINT (55.3691154 25.1324501),Point 5,,,,
POINT (55.2945526 25.1419293),Point 6,POINT (55.3776926 25.1491981),Point 6,POINT (55.3477755 25.1596099),Point 6,POINT (55.3520035 25.1613199),Point 6,,,,
POINT (55.3166111 25.135247),Point 7,POINT (55.376491 25.1541315),Point 7,POINT (55.3524962 25.1631835),Point 7,,,,,,
POINT (55.3182419 25.1493104),Point 8,POINT (55.3816837 25.1513735),Point 8,POINT (55.3701417 25.1609111),Point 8,,,,,,
POINT (55.3316315 25.1411523),Point 9,POINT (55.3522142 25.1282369),Point 9,POINT (55.3837351 25.1635039),Point 9,,,,,,
POINT (55.3339489 25.1654698),Point 10,POINT (55.3580078 25.125556),Point 10,POINT (55.3831451 25.1630475),Point 10,,,,,,
POINT (55.3441628 25.1485335),Point 11,POINT (55.3599802 25.1230506),Point 11,POINT (55.3844862 25.1623095),Point 11,,,,,,
POINT (55.3608997 25.1554481),Point 12,,,POINT (55.3854196 25.1619988),Point 12,,,,,,
POINT (55.3691395 25.1476011),Point 13,,,POINT (55.3862779 25.1613967),Point 13,,,,,,
POINT (55.336438 25.1324712),Point 14,,,POINT (55.3870289 25.1610277),Point 14,,,,,,
POINT (55.3423603 25.1380658),Point 15,,,POINT (55.3704403 25.1599303),Point 15,,,,,,
,,,,POINT (55.3007353 25.1410622),Point 16,,,,,,
,,,,POINT (55.3154553 25.1423831),Point 17,,,,,,
,,,,POINT (55.3555113 25.1449095),Point 18,,,,,,
,,,,POINT (55.3494808 25.1451883),Point 19,,,,,,
