Houses,name,Emergency Services,name,Business,name,Food,name,Transportation,name,Green Assets,name,Education,name
POINT (-118.4183313 34.1971128),Point 1,POINT (-118.3604475 34.2005661),Point 1,POINT (-118.4217084 34.187535),Point 1,POINT (-118.3966184 34.193236),Point 1,POINT (-118.3761247 34.1690184),Point 1,POINT (-118.4195561 34.1825257),Point 1,POINT (-118.3750404 34.2034396),Point 1
POINT (-118.4191896 34.1841204),Point 2,,,POINT (-118.4163011 34.1889195),Point 2,POINT (-118.4245135 34.2014),Point 2,POINT (-118.3496383 34.2058653),Point 2,POINT (-118.4042353 34.1959444),Point 2,POINT (-118.3779587 34.2045399),Point 2
POINT (-118.4092332 34.1910074),Point 3,,,POINT (-118.4244557 34.2028689),Point 3,POINT (-118.4209086 34.2015774),Point 3,POINT (-118.3535265 34.1929803),Point 3,POINT (-118.4159083 34.1749635),Point 3,POINT (-118.3748503 34.1904425),Point 3
POINT (-118.409319 34.1763808),Point 4,,,POINT (-118.4155722 34.2015556),Point 4,POINT (-118.4192349 34.2011515),Point 4,POINT (-118.4138479 34.1830808),Point 4,POINT (-118.4001155 34.1836973),Point 4,POINT (-118.4212418 34.1740761),Point 4
POINT (-118.4000493 34.1760968),Point 5,,,POINT (-118.3953377 34.20377),Point 5,POINT (-118.4101797 34.201116),Point 5,POINT (-118.4138908 34.1868705),Point 5,POINT (-118.3728486 34.1881622),Point 5,POINT (-118.4187956 34.1759223),Point 5
POINT (-118.3910371 34.177517),Point 6,,,POINT (-118.3890292 34.2049413),Point 6,POINT (-118.4058882 34.201187),Point 6,POINT (-118.414184 34.1721548),Point 6,,,POINT (-118.4154482 34.1782656),Point 6
POINT (-118.3755876 34.1770199),Point 7,,,POINT (-118.3830639 34.2004336),Point 7,POINT (-118.4047295 34.2024648),Point 7,POINT (-118.4139479 34.1688083),Point 7,,,POINT (-118.4104271 34.1830585),Point 7
POINT (-118.3757592 34.1832684),Point 8,,,POINT (-118.3719918 34.2021373),Point 8,POINT (-118.4050186 34.1802186),Point 8,POINT (-118.4185435 34.1721223),Point 8,,,,
POINT (-118.3839132 34.1909364),Point 9,,,POINT (-118.3716055 34.1890747),Point 9,POINT (-118.3967788 34.1719816),Point 9,POINT (-118.4196593 34.1721045),Point 9,,,,
POINT (-118.3925821 34.1971838),Point 10,,,POINT (-118.4042177 34.1732996),Point 10,POINT (-118.3822432 34.1778399),Point 10,POINT (-118.3574094 34.1980705),Point 10,,,,
POINT (-118.3750726 34.2052055),Point 11,,,POINT (-118.3935318 34.182069),Point 11,POINT (-118.378295 34.1727272),Point 11,POINT (-118.4135762 34.1938494),Point 11,,,,
POINT (-118.3983327 34.1906524),Point 12,,,POINT (-118.3840046 34.1807909),Point 12,POINT (-118.3722439 34.1731178),Point 12,POINT (-118.4135286 34.2011078),Point 12,,,,
POINT (-118.3821107 34.1948411),Point 13,,,POINT (-118.3838758 34.1829211),Point 13,POINT (-118.3601847 34.1724077),Point 13,POINT (-118.3881711 34.186572),Point 13,,,,
POINT (-118.3655126 34.1758152),Point 14,,,POINT (-118.39748 34.1877492),Point 14,POINT (-118.3703557 34.1832363),Point 14,POINT (-118.3713113 34.1866215),Point 14,,,,
POINT (-118.364193 34.2070357),Point 15,,,POINT (-118.3960932 34.1872877),Point 15,POINT (-118.4214521 34.1722159),Point 15,POINT (-118.3704568 34.1758712),Point 15,,,,
,,,,POINT (-118.3963078 34.1919735),Point 16,POINT (-118.3871208 34.2018573),Point 16,POINT (-118.3703185 34.1718985),Point 16,,,,
,,,,POINT (-118.3694857 34.1875717),Point 17,POINT (-118.3494206 34.1958972),Point 17,POINT (-118.3964548 34.1721382),Point 17,,,,
,,,,POINT (-118.3721983 34.194773),Point 18,POINT (-118.3626055 34.2024211),Point 18,POINT (-118.40545 34.172227),Point 18,,,,
,,,,POINT (-118.3676922 34.1810346),Point 19,POINT (-118.3944582 34.1873885),Point 19,POINT (-118.409763 34.1722358),Point 19,,,,
,,,,POINT (-118.3610461 34.169607),Point 20,POINT (-118.3872055 34.1892877),Point 20,POINT (-118.3877241 34.2011542),Point 20,,,,
,,,,POINT (-118.411784 34.2026179),Point 21,POINT (-118.3874201 34.1873885),Point 21,POINT (-118.3791723 34.2011701),Point 21,,,,
,,,,POINT (-118.3991669 34.2014467),Point 22,POINT (-118.3881711 34.186572),Point 22,POINT (-118.3702498 34.2009463),Point 22,,,,
,,,,POINT (-118.3968495 34.2007723),Point 23,POINT (-118.3866262 34.18714),Point 23,,,,,,
,,,,POINT (-118.3628532 34.2099301),Point 24,POINT (-118.3870339 34.1853649),Point 24,,,,,,
,,,,POINT (-118.3567163 34.2088654),Point 25,POINT (-118.3881497 34.1903171),Point 25,,,,,,
,,,,,,POINT (-118.3962449 34.1901326),Point 26,,,,,,
,,,,,,POINT (-118.3960517 34.1889079),Point 27,,,,,,
,,,,,,POINT (-118.396953 34.1865117),Point 28,,,,,,
,,,,,,POINT (-118.396202 34.1829439),Point 29,,,,,,
,,,,,,POINT (-118.3953866 34.1828019),Point 30,,,,,,
